SRR,SampleName
SRR1972619,SRS908772
SRR1972620,SRS908770
SRR1972621,SRS908771
SRR1972622,SRS908769
SRR1972623,SRS908768
SRR1972624,SRS908767
SRR1972625,SRS908766
SRR1735017,SRS803797
SRR1972626,SRS803920
SRR1735140,SRS803920
SRR1735251,SRS804031
SRR1972627,SRS804031
SRR1972628,SRS908765
SRR1735114,SRS803894
SRR1735194,SRS803972
SRR1735139,SRS803919
SRR1972629,SRS908764
SRR1735044,SRS803824
SRR1735246,SRS804027
SRR1735148,SRS803928
SRR1735169,SRS803949
SRR1735106,SRS803885
SRR1972630,SRS908763
SRR1735100,SRS803879
SRR1735010,SRS803790
SRR1972631,SRS908762
SRR1735118,SRS803899
SRR1972632,SRS908761
SRR1972633,SRS908760
SRR1972634,SRS908759
SRR1735054,SRS803834
SRR1734990,SRS803770
SRR1972635,SRS908758
SRR1735013,SRS803793
SRR1972636,SRS908757
SRR1972637,SRS908756
SRR1735027,SRS803807
SRR1972638,SRS908754
SRR1972639,SRS908755
SRR1972640,SRS803956
SRR1735175,SRS803956
SRR1972641,SRS908753
SRR1735121,SRS803902
SRR1972642,SRS908752
SRR1972643,SRS804043
SRR1735263,SRS804043
SRR1972644,SRS908751
SRR1972645,SRS908750
SRR1972646,SRS908749
SRR1735207,SRS803986
SRR1972647,SRS908748
SRR1972648,SRS908747
SRR1735031,SRS803811
SRR1972649,SRS908745
SRR1735120,SRS803900
SRR1735179,SRS803957
SRR1735240,SRS804020
SRR1972650,SRS908746
SRR1972651,SRS908744
SRR1972652,SRS908743
SRR1972653,SRS908742
SRR1972654,SRS908741
SRR1972655,SRS908740
SRR1972656,SRS908739
SRR1972657,SRS908738
SRR1972658,SRS908737
SRR1972659,SRS908736
SRR1972660,SRS908735
SRR1972661,SRS908734
SRR1972662,SRS908732
SRR1972663,SRS908733
SRR1972664,SRS908730
SRR1972665,SRS908731
SRR1972666,SRS908729
SRR1972667,SRS908728
SRR1972668,SRS908727
SRR1972669,SRS908726
SRR1972670,SRS908723
SRR1972671,SRS908725
SRR1972672,SRS908724
SRR1972673,SRS908722
SRR1972674,SRS908721
SRR1972675,SRS908720
SRR1972676,SRS908719
SRR1972677,SRS908718
SRR1972678,SRS908717
SRR1972679,SRS908716
SRR1972680,SRS908715
SRR1972681,SRS908713
SRR1972682,SRS908714
SRR1972683,SRS908712
SRR1972684,SRS908711
SRR1972685,SRS908710
SRR1972686,SRS908709
SRR1972687,SRS908708
SRR1972688,SRS908706
SRR1972689,SRS908707
SRR1972690,SRS908705
SRR1972691,SRS908704
SRR1972692,SRS908703
SRR1972693,SRS908702
SRR1972694,SRS908701
SRR1972695,SRS908700
SRR1972696,SRS908699
SRR1972697,SRS908698
SRR1972698,SRS908697
SRR1972699,SRS908696
SRR1972700,SRS908695
SRR1972701,SRS908694
SRR1972702,SRS908692
SRR1972703,SRS908693
SRR1972704,SRS908691
SRR1972705,SRS908690
SRR1972706,SRS908689
SRR1972707,SRS908688
SRR1972708,SRS908687
SRR1972709,SRS908686
SRR1972710,SRS908684
SRR1972711,SRS908685
SRR1972712,SRS908682
SRR1972713,SRS908683
SRR1972714,SRS908681
SRR1972715,SRS908679
SRR1972716,SRS908680
SRR1972717,SRS908678
SRR1972718,SRS908676
SRR1972719,SRS908677
SRR1972720,SRS908675
SRR1972721,SRS908674
SRR1972722,SRS908673
SRR1972723,SRS908672
SRR1972724,SRS908671
SRR1972725,SRS908670
SRR1972726,SRS908669
SRR1972727,SRS908668
SRR1972728,SRS908667
SRR1972729,SRS908666
SRR1972730,SRS908665
SRR1972731,SRS908663
SRR1972732,SRS908664
SRR1972733,SRS908662
SRR1735052,SRS803832
SRR1972734,SRS908661
SRR1972735,SRS908660
SRR1972736,SRS908659
SRR1972737,SRS908658
SRR1972738,SRS908657
SRR1972739,SRS908656
SRR1972740,SRS908655
SRR1972741,SRS908653
SRR1972742,SRS908654
SRR1972743,SRS908652
SRR1972744,SRS908650
SRR1972745,SRS908651
SRR1972746,SRS908649
SRR1972747,SRS908648
SRR1972748,SRS908647
SRR1972749,SRS908646
SRR1972750,SRS908645
SRR1972751,SRS908644
SRR1972752,SRS908643
SRR1972753,SRS908641
SRR1972754,SRS908642
SRR1972755,SRS908640
SRR1972756,SRS908639
SRR1972757,SRS908638
SRR1972758,SRS908637
SRR1972759,SRS908636
SRR1972760,SRS908635
SRR1972761,SRS908634
SRR1972762,SRS908633
SRR1972763,SRS908632
SRR1972764,SRS908630
